Hi,Hi.
Run!,Kukimbia!
Jump!,Rukia!
Stop!,Acha!
Go on.,Endelea.
Go on.,Endelea.
Hello!,Hello!
Listen.,Sikiza.
No way!,Hapana!
Really?,Kweli?
Why me?,Kwa nini mimi?
Awesome!,Ya kushangaza!
Be cool.,Kuwa mpole.
Come on!,Njoo!
Come on!,Njoo!
Come on!,Njoo!
Get out!,Toka!
Get out!,Toka!
Get out.,Toka nje.
Go away.,Nenda mbali.
Go away.,Nenda mbali.
Go away.,Nenda mbali.
Goodbye!,Kwaheri!
He came.,Alikuja.
I'm sad.,Nina huzuni.
"Me, too.","Mimi, pia."
Shut up!,Nyamaza!
Shut up!,Nyamaza!
Shut up!,Nyamaza!
Shut up!,Nyamaza!
Stop it.,Acha.
Take it.,Chukua.
Tom won.,Tom alishinda.
Tom won.,Tom alishinda.
Welcome.,Karibu.
Welcome.,Karibu.
Welcome.,Karibu.
Welcome.,Karibu.
Who won?,Nani alishinda?
Who won?,Nani alishinda?
Why not?,Kwa nini isiwe hivyo?
Why not?,Kwa nini isiwe hivyo?
Have fun.,Furahiya.
Hurry up.,Harakisha.
I forgot.,Nilisahau.
I got it.,Nimepata.
I got it.,Nimepata.
I got it.,Nimepata.
I'll pay.,Nitalipa.
I'm busy.,Nina shughuli.
I'm busy.,Nina shughuli.
I'm cold.,Nahisi baridi.
I'm here.,Niko hapa.
I'm home.,Niko nyumbani.
I'm poor.,Mimi ni masikini.
It hurts.,Inauma.
It's new.,Ni mpya.
Let's go.,Twende.
Let's go.,Twende.
Speak up!,Ongea!
Tom died.,Tom alikufa.
Tom died.,Tom alikufa.
Tom lost.,Tom alipotea.
Try some.,Jaribu zingine.
Who am I?,Mimi ni nani?
Who died?,Nani alikufa?
Who died?,Nani alikufa?
After you.,Baada yako.
Birds fly.,Ndege huruka.
Birds fly.,Ndege huruka.
Bless you.,Ubarikiwe.
Do it now.,Fanya sasa.
Don't lie.,Usidanganye.
Forget it!,Sahau!
Forget it!,Sahau!
Forget it.,Sahau.
Forget it.,Sahau.
Go to bed.,Enda kwa kitanda.
Good luck.,Bahati njema.
Hands off.,Mikono mbali.
He is ill.,Yeye ni mgonjwa.
He is ill.,Yeye ni mgonjwa.
How's Tom?,Vipi Tom?
How's Tom?,Vipi Tom?
I am Thai.,Mimi ni Thai.
I am cold.,Nahisi baridi.
I am okay.,Mimi niko sawa.
I am sure.,Nina uhakika.
I laughed.,Nilicheka.
I see Tom.,Naona Tom.
I'm alone.,Niko peke yangu.
I'm lucky.,Nina bahati.
I'm needy.,Ninahitaji.
I'm ready.,Niko tayari.
I'm ready.,Niko tayari.
I'm sorry.,Samahani.
I'm sorry.,Samahani.
I'm sorry.,Samahani.
I'm sorry.,Samahani.
It's cold.,Ni baridi.
Let me go.,Acha niende.
Look back!,Angalia nyuma!
Of course.,Kwa kweli.
Of course.,Kwa kweli.
Of course.,Kwa kweli.
Of course.,Kwa kweli.
She walks.,Yeye hutembea.
Stay thin.,Kaa nyembamba.
Stay thin.,Kaa nyembamba.
Stay thin.,Kaa nyembamba.
Stop that!,Acha hiyo!
Stop that.,Acha hiyo.
Take care!,Kuwa mwangalifu!
Take care.,Kuwa mwangalifu.
Take care.,Kuwa mwangalifu.
Thank you.,Asante.
Then what?,Halafu?
Then what?,Halafu?
Tom moved.,Tom alihamia.
Tom waved.,Tom alitikisa.
We're hot.,Tunahisi joto.
What's up?,Vipi?
Who cares?,Nani anajali?
You idiot!,Wewe mjinga!
You idiot!,Wewe mjinga!
You tried.,Ulijaribu.
All aboard!,Yote ndani!
All aboard!,Yote ndani!
Am I clear?,"Je, Mimi ni wazi?"
Be careful.,Kuwa mwangalifu.
Birds sing.,Ndege huimba.
Bottoms up!,Chupa juu!
Bottoms up!,Chupa juu!
Bring help.,Kuleta Msaada.
Bring wine.,Kuleta divai.
Bring wine.,Kuleta divai.
Can I stay?,Je! Ninaweza kukaa?
Come again.,Rudia.
Come alone.,Njoo peke yako.
Come alone.,Njoo peke yako.
Come along.,Njoo pamoja.
Come on in!,Njoo ndani!
Come on in.,Njoo ndani.
Come to me.,Njoo kwangu.
Follow him.,Mfuate.
Have faith.,Kuwa na imani.
He is sick.,Yeye ni mgonjwa.
He's happy.,Anafurahi.
He's smart.,Yeye ni smart.
He's smart.,Yeye ni smart.
Here it is.,Hapa ni.
I am a boy.,Mimi ni mvulana.
I am going.,Ninakwenda.
I am happy.,Nina furaha.
I am sorry.,Samahani.
I envy her.,Ninamwonea wivu.
I felt sad.,Nilihisi huzuni.
I hear you.,Nakusikia.
I know her.,Namjua.
I know her.,Namjua.
I know him.,Namjua.
I know him.,Namjua.
I like you.,Nakupenda.
I like you.,Nakupenda.
I love her.,Nampenda.
I love her.,Nampenda.
I love you.,Nakupenda.
I love you.,Nakupenda.
I love you.,Nakupenda.
I love you.,Nakupenda.
I love you.,Nakupenda.
I miss him.,Nimemkosa.
I miss you.,Ninakukosa rohoni.
I miss you.,Ninakukosa rohoni.
I saw that.,Niliona hiyo.
I want you.,Nakutaka.
I'm OK now.,Niko sawa sasa.
I'm a hero.,Mimi ni shujaa.
I'm hungry!,Nina njaa!
I'm sleepy!,Nina usingizi!
I'm unsure.,Sina uhakika.
Is it love?,Je! Ni upendo?
It is cold.,Ni baridi.
Let Tom go.,Acha Tom aende.
Let him go.,Acha aende.
Let me out!,Acha nitoke!
Look again.,Angalia tena.
No problem!,Hakuna shida!
Once again.,Tena.
Once again.,Tena.
That's wet.,Hiyo ni mvua.
Tom is big.,Tom ni mkubwa.
Tom yawned.,Tom Yawn.
Tom's here.,Tom yuko hapa.
We are men.,Sisi ni wanaume.
We are men.,Sisi ni wanaume.
What gives?,Nini kinatoa?
